;Nobelprijs;Achternaam;Voornamen;Roepnaam;Geslacht;Titulatuur 1;Geboortedatum;Geboorteplaats;Geboorteland;Sterfdatum;Sterfplaats;Land van overlijden;Examentype;Instelling;Datum;Proefschrift;Aanstelling I;Vakgebied I;Datum aanstelling I;Ambtsaanvaarding I;Leeropdracht I;Datum oratie I;Oratie/openbare les;Faculteit I;Einde dienstverband I;Reden I;Bijzonderheden I;Aanstelling II;Vakgebied II;Datum aanstelling II;Ambtsaanvaarding II;Leeropdracht II (Onderwijs of Vakgebied);Datum oratie II;Oratie/Openbare les II;Faculteit II;Einde dienstverband II;Reden II;Bijzonderheden II;Aanstelling III;Vakgebied III;Datum aanstelling III;Ambtsaanvaarding III;Leeropdracht III (Onderwijs of Vakgebied);Datum oratie III;Oratie/openbare les III;Faculteit III;Einde dienstverband III;Reden III;Bijzonderheden III;Aanstelling IV;Vakgebied IV;Datum aanstelling IV;Ambtsaanvaarding IV;Leeropdracht IV (Onderwijs of Vakgebied);Datum oratie IV;Oratie/openbare les IV;Faculteit IV;Einde dienstverband IV;Reden IV;Bijzonderheden IV;CV 1;CV 2;VIAF;Handle;NTA / PPN
1;;Aalst;Theodoor Pieter Hendrik van;;Man;;15-1-1849;Den Haag;Nederland;9-3-1937;Den Haag;Nederland;Promotie;Leiden;1878;Observationes in historiam Romanam extremi liberae reipublicae temporis;Gewoon Lector;Geschiedenis;5-9-1904;;Geschiedenis der Middeleeuwen en de politieke aardrijkskunde;;;Letteren;1905;;Lector ter vervanging van Prof. P.L. Muller;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(LETTEREN EN WIJSBEGEERTE) 1904-1905. Lector.;;288231766;;06991009X
3;;Ablaing;Willem Matthias d';;Man;;29-8-1851;Batavia;Nederlands-Indië;28-5-1889;Leiden;Nederland;Promotie;Leiden;1877;De zoogenoemde schuldvernieuwing door wissels;Gewoon Lector;Romeins Recht;28-11-1879;;Romeins recht en zijn geschiedenis;;;Rechtsgeleerdheid;;;;Gewoon Hoogleraar;Romeins Recht;14-4-1882;;Romeins recht en zijn geschiedenis;31-5-1882;;Rechtsgeleerdheid;28-5-1889;Overleden;;;;;;;;;;;;;;;;;;;;;;;;(RECHTSGELEERDHEID) 1879-1889. Lector 1879-1882, Hoogleeraar 1882-1889.;zie: Nieuw Nederl. Biogr. Woordenboek X K. 5.;215136034;1662702;70311625
6;;Abma;Ernst;;Man;;12-7-1924;Nijmegen;Nederland;25-3-2017;;;Promotie;Utrecht;1962;Leiding en leden in landbouwcoöperaties;Gewoon Lector;Sociologie;6-2-1969;1-3-1969;Sociologische analyse;;;Sociale Wetenschappen;;;;Gewoon Hoogleraar;Sociologie;20-12-1979;;Sociologische analyse;;;Sociale Wetenschappen;1-8-1987;1987-05-12  Eervol ontslag op eigen verzoek miv 1987-08-01;"1987-09-04 Afscheidscollege: ""Protest als sociaal verschijnsel en als sociaal begrip""";;;;;;;;;;;;;;;;;;;;;;;;;194355207;;07406150X
7;;Abragam;Anatole;;Man;;15-12-1914;Griva-Semgallen;Rusland;8-6-2011;Parijs;Frankrijk;Promotie;Oxford;1950;Some magnetic properties of crystals;Buitengewoon Hoogleraar;Natuurkunde;25-5-1979;1-3-1980;Lorentz leerstoel;;;Wiskunde en Natuurwetenschappen;;;Buitengewoon Hoogleraar wiskunde en natuurwetenschappen (Lorentzleerstoel) voor het tijdvak van 1980-03-01 tot 1980-07-15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(Lorentzleerstoel) voor het tijdvak van 1 maart 1980 tot 15 juli 1980. Vakgebied    Theoretische natuurkunde.;;79042222;;67472605
8;;Abraham;Robert Emil;;Man;;13-5-1937;Wenen;Oostenrijk;26-11-2015;;;Promotie;Amsterdam;1970;Analyse van de geneesmiddelenreclame door middel van advertenties in medische vakbladen;Gewoon Lector;Psychiatrie;25-11-1978;1-1-1979;Klinische psychiatrie, in het bijzonder de psychotherapie;7-9-1979;Wat je zegt dat ben je ook zelf. Bespiegelingen over psychotherapie, psychotherapeut en samenleving;Geneeskunde;;;;Gewoon hoogleraar;Psychiatrie;20-12-1979;;Klinische psychiatrie, in het bijzonder de psychotherapie;;;Geneeskunde;;;;;;;;;;;;;;;;;;;;;;;;;;;;75643043;1655094;70603332
9;;Acquoy;Johannes Gerhardus Rijk;;Man;;3-1-1829;Amsterdam;Nederland;15-12-1896;Leiden;Nederland;Promotie;Leiden;1857;Gerardi Magni Epistolae XIV, e codice regio Hagano nunc primum editae et perpetua annotatione, qua melius et ipse et tempora ejus cognoscantur, instructae quas ... pro gradu doctoratus ... examini submittit;Gewoon Hoogleraar;Bijbelwetenschap;18-1-1878;;Bijbelse en practische godgeleerdheid;28-5-1878;;Godgeleerdheid;;;Hoogleraar Godgeleerdheid vanwege Synode der Nederlandse Hervormde Kerk;Gewoon Hoogleraar;Geschiedenis van de Godsdienst;29-5-1881;;Geschiedenis van de Leerstellingen van den Christelijken Godsdienst;7-12-1881;;Godgeleerdheid;15-12-1896;Overleden;;;;;;;;;;;;;;;;;;;;;;;;"(GODGELEERDHEID) 1878-1896. Hoogleeraar vanwege de Synode der Nederl.
Hervormde Kerk 1878-1881, Gewoon Hoogleeraar 1881-1896.";"zie: Nieuw Nederl. Biogr. Woordenboek II K. 8: - P. J. Blok in Pallas Leidensis MCMXXV: -
F. Pijper in Levensberichten van de Mij. der Nederl. Letterkunde te Leiden 1897-1898.
SlEOENBEEK VAN HEUKELOM-LAMME, Curatoren
1 AEMILIÜS - ALBINUS";49591962;1582085;69877149
10;;Addink;Alberti Daniël François;;Man;;31-3-1935;Eindhoven;Nederland;30-4-2006;Leiden;Nederland;Promotie;Utrecht;1968;Some aspects of carbonic anhydrase of Sepia officinalis (L.);Gewoon Hoogleraar;Biologie;11-10-1974;1-11-1974;Experimentele dierkunde, in het bijzonder de dierenfysiologie;19-9-1975;Regulatie en adaptie in levensfuncties;Wiskunde en Natuurwetenschappen;2000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;zie: JB der R.U. te Leiden 1975-1980 blz. 28.;77039589;;67498035
11;;Adelman-Glicman;Irma;;Vrouw;;14-3-1930;Cernowitz;Roemenië;5-2-2017;;;Promotie;Berkeley;1955;The monetary theory of Leon Walras : a general equilibrium analysis of money;Bijzonder Hoogleraar;;3-5-1977;1-9-1977;Armoede en ongelijkheid (Cleveringa leerstoel);14-10-1977;Redistribution before growth. A strategy for developing countries;"Rechtsgeleerdheid; Sociale Wetenschappen";1-11-1978;;Buitengewoon Hoogleraar Sociale Wetenschappen en Rechtsgeleerdheid (Cleveringastoel) voor het tijdvak van 1977-09-01 tot 1978-09-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(Cleveringaleerstoel) voor het tijdvak van 1 sept. 1977 tot 1 sept. 1978.  Armoede en ongelijkheid.;zie: JB der R.U. te Leiden 1975-1980 blz. 53.;41823552;;67791964
12;;Adriaanse;Hendrik Johan;;Man;;11-4-1940;Winschoten;Nederland;28-8-2012;;;Promotie;Leiden;1974;Zu den Sachen selbst : Versuch einer Konfrontation der Theologie Karl Barths mit der pha?nomenologischen Philosophie Edmund Husserls;Gewoon Hoogleraar;;25-11-1978;1-1-1978;Godsdienstwijsbegeerte, zedekunde en encyclopedie van de Godgeleerdheid / Centrale Interfaculteit: Godsdienstwijsbegeerte;21-12-1979;Het specifiek theologische aan een Rijksuniversiteit. De verborgenheid der Godgeleerdheid;Godgeleerdheid;2001;Emeritaat;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;113607915;1655099;68402066
15;;Alberti;Joannes;Joan;Man;;6-3-1698;Assen;Nederland;13-8-1762;Leiden;Nederland;;;;;Gewoon Hoogleraar;;12-7-1740;;Godgeleerdheid;5-10-1740;;Godgeleerdheid;13-8-1762;Overleden;Rector Magnificus 1748-1749;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(GODGELEERDHEID) 1740-1762. Hoogleeraar.;"zie: Molhuysen „Bronnen"" V: - Nieuw Nederl. Biogr. Woordenboek I K. 59.";54889220;"1581816; 1620931; 1623609; 1621499; 1620465; 1621934; 1621794";69861463
