Period_start;Period_end;Name;Picture;Picture_saved;Term/Details
1575;1576;Peter Tiara;//upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Peter_Tiara.jpg/62pxPeter_Tiara.jpg;pictures/Peter Tiara.jpg;
1576;1577;Guilliaume Feuguiéres[2][3];;;
1577;1578;Peter Tiara;//upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Peter_Tiara.jpg/62pxPeter_Tiara.jpg;pictures/Peter Tiara.jpg;2
1578;1579;Peter Tiara;//upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Peter_Tiara.jpg/62pxPeter_Tiara.jpg;pictures/Peter Tiara.jpg;3
1579;1580;Justus Lipsius;//upload.wikimedia.org/wikipedia/commons/thumb/b/be/Justus_Lipsius_by_Peter_Paul_Rubens.jpg/62pxJustus_Lipsius_by_Peter_Paul_Rubens.jpg;pictures/Justus Lipsius.jpg;
1580;1581;Justus Lipsius;//upload.wikimedia.org/wikipedia/commons/thumb/b/be/Justus_Lipsius_by_Peter_Paul_Rubens.jpg/62pxJustus_Lipsius_by_Peter_Paul_Rubens.jpg;pictures/Justus Lipsius.jpg;2
1581;1582;Cornelis de Groot;;;
1582;1583;Gerard Bontius;;;
1583;1584;Johannes Heurnius;//upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Johannes_Heurnius_01.jpg/62pxJohannes_Heurnius_01.jpg;pictures/Johannes Heurnius.jpg;
1584;1585;Johannes Heurnius;//upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Johannes_Heurnius_01.jpg/62pxJohannes_Heurnius_01.jpg;pictures/Johannes Heurnius.jpg;2
1585;1586;Adrianus Saravia;;;
1586;1587;Adrianus Saravia;;;2
1587;1588;Justus Lipsius;//upload.wikimedia.org/wikipedia/commons/thumb/b/be/Justus_Lipsius_by_Peter_Paul_Rubens.jpg/62pxJustus_Lipsius_by_Peter_Paul_Rubens.jpg;pictures/Justus Lipsius.jpg;3
1588;1589;Justus Lipsius;//upload.wikimedia.org/wikipedia/commons/thumb/b/be/Justus_Lipsius_by_Peter_Paul_Rubens.jpg/62pxJustus_Lipsius_by_Peter_Paul_Rubens.jpg;pictures/Justus Lipsius.jpg;4
1589;1590;Julius van Beyma;//upload.wikimedia.org/wikipedia/commons/thumb/5/5d/JuliusBeyma.jpg/62pxJuliusBeyma.jpg;pictures/Julius van Beyma.jpg;
1590;1591;Julius van Beyma;//upload.wikimedia.org/wikipedia/commons/thumb/5/5d/JuliusBeyma.jpg/62pxJuliusBeyma.jpg;pictures/Julius van Beyma.jpg;2
1591;1592;Thomas Sosius;;;ook: Thomas Zoesius of Thomas van Soest
1592;1593;Johannes Heurnius;//upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Johannes_Heurnius_01.jpg/62pxJohannes_Heurnius_01.jpg;pictures/Johannes Heurnius.jpg;3
1593;1594;Johannes Heurnius;//upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Johannes_Heurnius_01.jpg/62pxJohannes_Heurnius_01.jpg;pictures/Johannes Heurnius.jpg;4
1594;1595;Cornelis de Groot;;;
1595;1596;Cornelis de Groot;;;
1596;1597;Cornelis de Groot;;;
1597;1598;Franciscus Gomarus;//upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Franciscus_Gomarus.png/62pxFranciscus_Gomarus.png;pictures/Franciscus Gomarus.jpg;
1598;1599;Franciscus Gomarus;//upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Franciscus_Gomarus.png/62pxFranciscus_Gomarus.png;pictures/Franciscus Gomarus.jpg;2
1599;1599;Gerard Bontius;;;2
1599;1600;Johannes Heurnius;//upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Johannes_Heurnius_01.jpg/62pxJohannes_Heurnius_01.jpg;pictures/Johannes Heurnius.jpg;5
1600;1601;Johannes Heurnius;//upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Johannes_Heurnius_01.jpg/62pxJohannes_Heurnius_01.jpg;pictures/Johannes Heurnius.jpg;6
1601;1602;Pieter Pauw;//upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Petrus_Paaw.jpg/62pxPetrus_Paaw.jpg;pictures/Pieter Pauw.jpg;1
1602;1603;Paulus Merula;//upload.wikimedia.org/wikipedia/commons/thumb/b/b5/PaulusMerula.jpg/62pxPaulusMerula.jpg;pictures/Paulus Merula.jpg;
1603;1604;Cornelis de Groot;;;5
1604;1605;Everard van Bronkhorst;//upload.wikimedia.org/wikipedia/commons/thumb/3/31/EverardBronchorst.jpg/62pxEverardBronchorst.jpg;pictures/Everard van Bronkhorst.jpg;
1605;1606;Jacobus Arminius;//upload.wikimedia.org/wikipedia/commons/thumb/1/1d/James_Arminius_2.jpg/62pxJames_Arminius_2.jpg;pictures/Jacobus Arminius.jpg;
1606;1607;Pieter Pauw;//upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Petrus_Paaw.jpg/62pxPetrus_Paaw.jpg;pictures/Pieter Pauw.jpg;2
1607;1608;Rudolph Snellius;//upload.wikimedia.org/wikipedia/commons/thumb/d/d8/Rudolph_Snellius.gif/62pxRudolph_Snellius.gif;pictures/Rudolph Snellius.jpg;
1608;1609;Cornelis de Groot;;;6
1609;1610;Aelius Everhardus Vorstius;//upload.wikimedia.org/wikipedia/commons/thumb/d/d6/AeliusEverhardusVorstius.jpg/62pxAeliusEverhardusVorstius.jpg;pictures/Aelius Everhardus Vorstius.jpg;
1610;1611;Rudolph Snellius;//upload.wikimedia.org/wikipedia/commons/thumb/d/d8/Rudolph_Snellius.gif/62pxRudolph_Snellius.gif;pictures/Rudolph Snellius.jpg;2
1611;1612;Rudolph Snellius;//upload.wikimedia.org/wikipedia/commons/thumb/d/d8/Rudolph_Snellius.gif/62pxRudolph_Snellius.gif;pictures/Rudolph Snellius.jpg;3
1612;1613;Aelius Everhardus Vorstius;//upload.wikimedia.org/wikipedia/commons/thumb/d/d6/AeliusEverhardusVorstius.jpg/62pxAeliusEverhardusVorstius.jpg;pictures/Aelius Everhardus Vorstius.jpg;2
