ID;Nobelprijs;Achternaam;Voornamen;Roepnaam;Geslacht;Titulatuur 1;geboortedatum;Geboorteplaats;Geboorteland;Sterfdatum;Sterfplaats;Land van overlijden;Examentype;Instelling;Datum;Proefschrift;Aanstelling I;Vakgebied I;Datum aanstelling I;Ambtsaanvaarding I;Leeropdracht I;Datum oratie I;Oratie/openbare les;Faculteit I;Einde dienstverband I;Reden I;Bijzonderheden I;Aanstelling II;Vakgebied II;Datum aanstelling II;ambtsaanvaarding II;Leeropdracht II (Onderwijs of Vakgebied);Datum oratie/openbare les II;Oratie/Openbare les II;Faculteit II;Einde dienstverband II;Reden II;Bijzonderheden II;Aanstelling III;Vakgebied III;Datum aanstelling III;Ambtsaanvaarding III;Leeropdracht III (Onderwijs of Vakgebied);Datum oratie/openbare les III;Oratie/openbare les III;Faculteit III;Einde dienstverband III;Reden III;Bijzonderheden III;Aanstelling IV;Vakgebied IV;Datum aanstelling IV;Ambtsaanvaarding IV;Leeropdracht IV (Onderwijs of Vakgebied);Datum oratie/openbare les IV;Oratie/openbare les IV;Faculteit IV;Einde dienstverband IV;Reden IV;Bijzonderheden IV;CV 1;CV 2;VIAF;Handle;NTA / PPN
45;;Antal de Felsögeller;Kornél Vilmos;;Man;;1917-04-19;Boedapest;Hongarije;2003;;;Promotie;Leiden;1955;Enkele beschouwingen over de waardering van het incourante aandeel voor de Wet op de Vermogensbelasting 1892 en de Successiewet;Gewoon Lector;Belastingrecht;1947-07-28;1947-09-05;Belastingrecht;1947-12-19;Eenvoud in het belastingrecht in Nederland;Rechtsgeleerdheid;;;;Buitengewoon Hoogleraar;Belastingrecht;1956-02-07;1955-10-01;Belastingrecht;1956-06-08;Enkele beschouwingen over het interpreteren door de belastingrechter;Rechtsgeleerdheid;1975-10-03;1975-10-02  Eervol ontslag op eigen verzoek miv 1975-10-03. Naar Hoge Raad der Nederlanden;;;;;;;;;;;;;;;;;;;;;;;;;zie: JB der R.U. te Leiden 1956 blz. 117.;306171869;;073637475
47;;Anthonides;Johannes;Jan;Man;;1569;Alkmaar;Nederland;Tussen 1635 en 1640;Amsterdam;Nederland;;;;;Gewoon Lector;Arabische Taal- en Letterkunde;1612-03-03;;;;;Letteren;1613;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(LETTERKUNDE) 1612-1613. Lector.;"zie: Molhuysen „Bronnen"" II- - van der Aa 1 - Nieuw Nederl. Biogr. Woordenboek IX K.";34852863;;071879730
49;;Antoniadis;Sophia;;Vrouw;;1895-07-31;Piraeus;Griekenland;1972-01-25;Athene;Griekenland;Promotie;Parijs;1930;L'Evangile de Luc : esquisse de grammaire et de style;Buitengewoon Hoogleraar;Literatuurwetenschap;1929-07-19;;Grieksche Taal- en Letterkunde van den Oud-Christelijken, den Byzantijnschen en den nieuweren tijd;1929-11-13;Importance du grec moderne;Letteren;;;Eerste vrouwelijke hoogleraar in Leiden.;Gewoon Hoogleraar;;1953-08-12;;Grieksche Taal- en Letterkunde van den Oud-Christelijken, den Byzantijnschen en den nieuweren tijd;;;;1955-10-01;1956-02-04  Ontslag op verzoek miv 1955-10-01.;;;;;;;;;;;;;;;;;;;;;;;;;zie: JB der R.U. te Leiden 1930 blz. 151 en In Mem. JB. LUF 1972 blz. 82.;70404065;1887170;069999430
54;;Arkel;Anton Eduard van;;Man;;1893-11-19;Den Haag;Nederland;1976-03-14;Amsterdam;Nederland;Promotie;Utrecht;1920;Uitvlokkingssnelheid van het seleensol;Gewoon Hoogleraar;Scheikunde;1934-07-21;;Anorganische scheikunde. 1940-09-16 Tevens onderwijs in physische Scheikunde.1951-06-11 Onderwijs opdracht voor physische scheikunde vervallen;1934-10-26;Nieuwere inzichten in de scheikunde.;Wiskunde en Natuurwetenschappen;1964-05-29;Ontslag wegens Emeritaat;"1942-05-30  Eervol ontslag op eigen verzoek. 1945-09-04  Herbenoemd. Rector Magnificus 1955-1956. 1956-02-08 Diesrede; ""Miskende Wetenschap"".  1964-05-29 Afscheidscollege.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"zie: JB der R.U. te Leiden 1935 blz. 72, JB 1975-1980 In Mem. blz. 111, BWN deel
            II blz. 13 en KNAW 1976 blz. 184.";85526435;"1582046; 1620598";069116466
55;;Arkel;Dirk van;;Man;;1924-05-17;Eindhoven;Nederland;2012-10;;Nederland;Promotie;Leiden;1966;Antisemitism in Austria;Gewoon Lector;Geschiedenis;1966-08-04;1966-09-01;Sociale Geschiedenis;1967-06-06;Clio en Minerva. Sociale geschiedenis en sociale wetenschap;Letteren;;;;Gewoon Hoogleraar;Geschiedenis;1969-10-21;;Sociale Geschiedenis;;;Letteren;1986-09-01;eerval ontslag op eigen verzoek;;;;;;;;;;;;;;;;;;;;;;;;;zie: JB der R.U. te Leiden 1967/68 blz. 238.;79044999;;071793712
57;;Arminius;Jacob Hermanszoon;;Man;;1560-10-10;Oudewater;Nederland;1609-10-19;Leiden;Nederland;;;;;Gewoon Hoogleraar;Dogmatiek;1603-05-08;;;;;Godgeleerdheid;1609;Overleden;Rector Magnificus 1605-1606;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(GODGELEERDHEID) 1603-1609. Hoogleeraar.;"zie. Molhuysen „Bronnen"" I: - Nieuw Nederl. Biogr. Woordenboek I K. 170.";37709819;"1582066; 1619754; 1620151; 1620394; 1620254; 1623471; 1624502; 1623152; 1623122; 1621672; 1621083; 1620196; 1620554; 1623125; 1625543; 1620106; 1623952; 1622850; 1623286; 1620494; 1624598";069852812
59;;Arntzenius;Alexander Cornelis;;Man;;1922-06-15;Den Haag;Nederland;1995-02-10;;;Promotie;Leiden;1968;A model of excitation of the human heart : its value in establishing a link between pathway of excitation and clinical;Gewoon Hoogleraar;"Cardiologie;Inwendige Geneeskunde";1972-11-02;1972-12-01;Inwendige Geneeskunde met een bijzondere opdracht voor de cardiologie;1974-02-15;Curatieve en preventieve cardiologie;Geneeskunde;1984-07-01;Eervol ontslag op eigen verzoek;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;zie: JB der R.U. te Leiden 1970-1975 blz. 71.;60361019;1276093;067501729
61;;Asbeck;Frederik Mari van;;Man;Baron;1889-02-27;Den Helder;Nederland;1968-02-09;Leiden;Nederland;Promotie;Leiden;1916;Onderzoek naar den juridischen wereldbouw;Bijzonder Hoogleraar;"Nederlands-Indië;Staatsrecht";1939-01-16;;Vergelijkend Koloniaal Staatsrecht;1939-05-26;Internationale Invloed in Koloniaal Bewind;Rechtsgeleerdheid;1942-06-01;Eervol ontslag op eigen verzoek;1938-07-07 Bijzonder Hoogleraar Rechtsgeleerdheid vanwege het Leids Universiteits Fonds;Gewoon Hoogleraar;Staatsrecht;1945-09-15;;Staats- en Administratief Recht van Ned.-Indië, Suriname en Curacao. 1947-07-28  Onderwijsopdracht gewijzigd in : Volkenrecht en internationale politieke geschiedenis;;;;1959-09-21;1959-04-14  Ontslag wegens Emeritaat miv 1959-09-21;;;;;;;;;;;;;;;;;;;;;;;;;zie: JB der R.U. te Leiden 1939 blz. 77 en In Mem. JB 1968/69 blz. 262.;76714568;1663260;068926766
63;;Asselbergs;Wilhelmus Johann Maria Antonius;;Man;;1903-01-02;Bergen op Zoom;Nederland;1968-07-27;Nijmegen;Nederland;;;;;Bijzonder Hoogleraar;Nederlandse Taal- en Letterkunde;1940-03-30;;Vondelstudie;1940-10-11;Pascha Problemen;Letteren;1952;Ontslag op verzoek;Bijzonder Hoogleraar Letteren en Wijsbegeerte vanwege de Vondelstichting. 1942-05-01 (Besch) Eervol ontslag op eigen verzoek. 1945-09-17 Herbenoemd.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"zie: JB der R.U. te Leiden 1941 blz. 45 en In Mem. JB Mij. der Ned. Letterk.
            1968/69 blz. 107.";49396018;;068476841
65;;Assen;Cornelis Jacobus van;;Man;;1788-08-25;Harlingen;Nederland;1859-09-13;Velp;Nederland;Promotie;Franeker;1809;Disputatio juridico-literaria de M. Tullii Ciceronis oratione pro Aulo Cluentio Avito;Gewoon Hoogleraar;Romeins Recht;1821-05-28;;Romeins en hedendaags recht;1821-09-29;;Rechtsgeleerdheid;1858-12-14;Ontslag wegens emeritaat;"1831-1833 Staatsraad in buitengewone dienst van Prins Frederik en secretaris en adviseur van de Prins van Oranje; 1833 hervat colleges in Romeins recht en geldend burgelijk recht. Rector Magnificus 1830-1831";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(RECHTSGELEERDHEID) 1821-1858. Hoogleeraar.;zie: Nieuw Nederl. Biogr. Woordenboek II K. 42.;15876071;"1621307; 1622449";069986924
