id;name;standard
2;Jacob;jacob
3;Caro;karel
4;Dirk;diedrijk
5;Joannes;johannes
6;Helena;helena
7;Auke;ave
8;Trijntje;catharina
9;Jannes;johannes
10;Marijke;maria
11;Suzanna;susanna
12;Gerardus;geerhard
13;Jan;johannes
14;Johanna;johannes
15;Philip;filippus
16;Pietertje;petrus
17;Johannes;johannes
18;Elisabeth;elisabeth
19;Hendrina;heimrijk
20;Aagje;agatha
21;Jacobus;jacob
22;Johan;johannes
23;Pieternella;petrus
24;Pieter;petrus
25;Willemina;wilhelm
26;;
27;Hendrik;heimrijk
28;Hendrica;heimrijk
29;Max;max
30;Selma;anshelm
31;Samuel;samuel
32;Anna;anne
33;Angenietje;engel
34;Abram;abraham
35;Willem;wilhelm
36;Martha;martha
37;Catharina;catharina
38;Francijntje;franciscus
39;Adriaantje;adriaan
40;Elizabeth;elisabeth
41;Huibertus;hugbert
42;Maria;maria
43;Thomas;thomas
44;Judith;judith
45;Petrus;petrus
46;Cornelis;cornelis
47;Margaretha;margareta
48;Jannetje;johannes
49;Leonardus;leonhard
50;Christina;christiaan
51;Carel;karel
52;Jonas;jonas
53;Hubertus;hugbert
54;Quirinus;quirinus
55;Divertje;diedw-
56;Maartje;maria
57;Isaac;izaak
58;Antonia;antonius
59;Arij;adriaan
60;Antje;anne
61;Krijn;quirinus
62;Gijsbert;gijsbert
63;Barend;bernhard
64;Anthonie;antonius
65;Sijtje;zege
66;Martinus;martinus
67;Bernardus;bernhard
68;Bavonia;bavo
69;Jacoba;jacob
70;Andries;andries
71;Anke;anne
72;Daniel;daniël
73;Antonius;antonius
74;Abraham;abraham
75;Friederica;friedrijk
76;Coenraad;koenraad
77;Hendrika;heimrijk
78;Theodora;theodorus
79;Pierre;petrus
80;Wilhelmina;wilhelm
81;Geertruida;geertruida
82;Wilhelmus;wilhelm
83;Dirkje;diedrijk
84;Machtilda;machthilde
85;Willemijntje;wilhelm
86;Grietje;margareta
87;Meijert;meinhard
88;Arie;adriaan
89;N.N.;
90;Jozijntje;jozef
91;Alberdina;adelbert
92;Marinus;marinus
93;Gerrit;geerhard
94;Petronella;petrus
95;Leentje;leen
96;Wiggert;wijghard
97;Geertrui;geertruida
98;Anthonia;antonius
99;Reijer;reingeer
100;Theodorus;theodorus
101;Clasijntje;nicolaas
102;Fredrik;friedrijk
103;Mauris;maurits
104;Ariaantje;adriaan
105;Albert;adelbert
106;Ottoline;od
107;Frederika;friedrijk
108;Albertus;adelbert
109;Adriana;adriaan
110;Hendrikus;heimrijk
